profile_id,dataset_index,condition,user_prediction,user_confidence,decision_time,interaction_count,explanation_view_time,predicted_confidence,explanation_depth,top_features_shown,trust,understanding,usefulness,reliance,comments,timestamp,session_id,profile_type,ai_prediction,probability_bad_credit,user_agreed_with_ai,reported_confidence_level,adaptation_signal,participant_id
Applicant A,654,Adaptive,Good Credit,3,25.81,3,35.23,high,Concise,2,3,3,3,3,good,,,,,,,,,
Applicant A,654,Static,Good Credit,3,7.25,2,2.22,high,Standard,5,3,3,3,3,good,,,,,,,,,
Applicant A,654,Static,Good Credit,3,7.25,3,48.69,high,Standard,5,3,3,3,3,good,,,,,,,,,
Applicant F,477,Static,Good Credit,4,66.37,2,10.18,high,Standard,5,3,3,3,3,Understood,,,,,,,,,
Applicant F,477,Static,Bad Credit,1,7.39,2,4.63,high,Standard,5,3,3,3,3,Okay i get it,,,,,,,,,
Applicant F,477,Static,Bad Credit,1,2.68,2,2.31,high,Standard,5,3,3,3,3,Very bad,2026-06-08T19:20:11,20260608-191920,Borderline example,Bad Credit,0.5193596482276917,1.0,low,Not applied,
Applicant F,477,Adaptive,Bad Credit,1,8.92,2,6.4,high,Detailed,6,3,3,3,3,dsfsfsfgsafgafg,2026-06-08T19:20:56,20260608-191920,Borderline example,Bad Credit,0.5193596482276917,1.0,low,Low,
Applicant F,477,Static,Bad Credit,1,183.15,2,18.18,low,Standard,5,3,3,3,3,khbfjskdfjfjsf,2026-06-08T19:55:57,20260608-191920,Borderline example,Bad Credit,0.5193596482276917,1.0,low,Not applied,
Applicant D,334,Static,Bad Credit,3,9.72,2,9.02,high,Standard,5,3,3,3,3,fifsajnfaljnfkajsfk,2026-06-08T20:06:23,20260608-191920,High-risk example,Bad Credit,0.998325526714325,1.0,medium,Not applied,1.0
Applicant D,334,Static,Good Credit,3,5.29,2,8.36,high,Standard,5,3,3,3,3,,2026-06-08T20:22:57,20260608-202021,High-risk example,Bad Credit,0.998325526714325,0.0,medium,Not applied,
Applicant D,334,Adaptive,Good Credit,3,49.37,2,257.7,low,Detailed,6,3,3,3,3,lhlkkhjhj,2026-06-08T20:37:08,20260608-202021,High-risk example,Bad Credit,0.998325526714325,0.0,medium,Low,67
